subject,Llama-3.1-8B-V0,Llama-3.1-8B-V1,Llama-3.2-3B-V0,Llama-3.2-3B-V1,Qwen2.5-14B-V0,Qwen2.5-14B-V1,Qwen2.5-7B-V0,Qwen2.5-7B-V1,Zephyr-7B-V0,Zephyr-7B-V1,phi-4-14B-V0,phi-4-14B-V1
professional_law,1390,1171,1166,1140,1109,1058,1095,1094,1128,1139,1666,1026
moral_scenarios,983,728,721,714,722,708,726,744,753,737,995,741
miscellaneous,579,454,480,484,339,308,360,345,457,451,865,308
professional_psychology,574,409,424,419,337,306,359,345,448,443,667,317
high_school_psychology,464,302,308,311,222,168,231,209,306,304,601,195
high_school_macroeconomics,392,268,280,296,200,158,206,193,265,254,431,177
elementary_mathematics,366,262,250,275,210,166,208,193,257,256,380,184
moral_disputes,319,235,224,221,207,183,194,196,238,242,383,170
philosophy,300,205,201,202,162,144,0,0,225,204,0,0
professional_accounting,292,212,216,213,194,183,201,196,216,223,311,190
prehistory,0,0,0,0,0,0,0,0,0,0,359,136
high_school_mathematics,0,0,0,0,0,0,161,164,0,0,0,0
